location,Kolkata,Kolkata,Kolkata
lat,22.52747,22.52747,22.52747
lon,88.37216,88.37216,88.37216
asl,8.600,8.600,8.600
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Kolkata Temperature [2 m elevation corrected],Kolkata Temperature [2 m elevation corrected],Kolkata Temperature [2 m elevation corrected]
20220722T0000,32.1044,27.9044,29.153566
20220723T0000,30.9644,26.9544,28.689817
20220724T0000,29.2444,26.694399,27.456064
20220725T0000,30.5944,26.7144,28.121065
20220726T0000,31.944399,26.6844,29.044401
20220727T0000,34.5744,26.3544,29.808569
20220728T0000,33.9644,27.1844,30.14857
20220729T0000,34.344402,27.6244,30.478987
20220730T0000,35.204403,28.2244,31.006067
20220731T0000,35.384403,28.5244,31.404402
20220801T0000,34.684402,29.0444,31.472319
20220802T0000,36.2644,28.2244,31.972319
20220803T0000,34.6444,28.114399,31.185234
20220804T0000,33.4244,27.864399,30.605652
20220805T0000,34.6244,27.5544,30.858984